Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,49 Mbps,50 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,82 Mbps,83 Mbps,85 Mbps,90 Mbps,92 Mbps,95 Mbps,100 Mbps
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,,2,,,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,,,,,,,23,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3,,,,,,,,,147,,,,,,,,447,,122,,1,,,1045,,,,,,,,,,,,,,,44,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,661,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,2,,,,4,,,,,40,,,7,,,,,116,,10,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1,,10,1,,34,25,,,8,,,2,,63,7,,4,15,,,,37,,439,,37,,,135,,,156,,8,,,,,230,,,,,11556,,,,,,,,,,,,,2689,,,,960,,,,,,,247,,,,,,,,,3324
BUENOS AIRES,Almirante Brown,Burzaco,6028010,50,1,,9,1,,23,29,,,77,,,17,,34,115,,14,90,,,,30,,1213,,8,,,60,,,28,,3,,,,,184,,,,,11396,,,,,,,,,,,,,1654,,,,4220,,,,,,,938,,,,,,,,,5620
BUENOS AIRES,Almirante Brown,Claypole,6028010,,,,,,,2,7,,,,,,3,,3,,,1,46,,,,,,498,,3,,,1,,,10,,16,,,,,71,,,,,4114,,,,,,,,,,,,,470,,,,2333,,,,,,,503,,,,,,,,,2571
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1,,,,,,,438,,,,,,,,,,,,,,,35,,,,,3,,,,,,,,,,,,,16,,,,2088,,,,,,,433,,,,,,,,,1305
BUENOS AIRES,Almirante Brown,Glew,6028010,1,,,5,,,7,5,,,15,,,5,,27,29,,2,12,,,,16,,365,,8,,,8,,,12,,1,,,,,113,,,,,11736,,,,,,,,,,,,,673,,,,2986,,,,,,,781,,,,,,,,,1602
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,,,1,,,,,,,,2,,,,18,,,,3,,512,,5,,,,,,36,,13,,,,,86,,,,,1385,,,,,,,,,,,,,991,,,,1687,,,,,,,380,,,,,,,,,2550
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,,1,,,3,,,,,,,3,,21,,,4,1,,,,4,,698,,12,,,4,,,12,,1,,,,,98,,,,,7435,,,,,,,,,,,,,998,,,,2669,,,,,,,679,,,,,,,,,2969
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,,,3,,,,,,,,,,,1,47,,,,,,159,,3,,,,,,4,,6,,,,,32,,,,,6,,,,,,,,,,,,,376,,,,1621,,,,,,,344,,,,,,,,,1865
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,,,,2,,,3,,,,,,,319,,,,,,,,,,,,,,,14,,,,,4094,,,,,,,,,,,,,59,,,,1337,,,,,,,281,,,,,,,,,885
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,,,,3,,,10,29,,,,,,99,,18,339,,5,60,,,,3,,739,,2,,,9,,,2,,1,,,,,63,,,,,9970,,,,,,,,,,,,,761,,,,3169,,,,,,,668,,,,,,,,,3373
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,,1,,,4,9,,,,,,40,,21,,,,126,,,,,,140,,,,,1,,,1,,19,,,,,9,,,,,3236,,,,,,,,,,,,,77,,,,1581,,,,,,,298,,,,,,,,,1398
BUENOS AIRES,Almirante Brown,San Jose,6028010,,,,3,,,1,,,,,,,,,2,,,3,135,,,,,,550,,1,,,,,,2,,57,,,,,32,,,,,4,,,,,,,,,,,,,296,,,,3445,,,,,,,727,,,,,,,,,2571
BUENOS AIRES,AMBA,Otros,Sin Datos,0,,,16,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,2,,,1,,,6,137,,,275,,,1011,,165,449,,,69,,,,285,,7,,,,,452,,,,,3372,,,,,5,,,,,3,,,,,,,,,,,,,1535,,,,,,,,,,,,,,,,,,,,530
BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,13
BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,24,,,8,5,,43,44,,,5,,,33,,288,,,10,43,,,,397,,302,,48,,,803,,,104,,80,,,,,185,,,,,2898,,,,,,,,,,,,,4804,,,,741,,,,,,,204,,,,,,,,,3695
BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,,,1,2,,,,,,1,,6,,,4,14,,,,3,,208,,19,,,1,,,72,,30,,,,,109,,,,,12,,,,,,,,,,,,,3273,,,,587,,,,,,,137,,,,,,,,,2317
BUENOS AIRES,Avellaneda,Dock Sud,6035010,2,,,1,,,5,6,,,,,,5,,,,,,258,,,,1,,62,,,,,1,,,,,277,,,,23,2,,,,,4,,,,,,,,,,,,,1288,,,,217,,,,,,,59,,,,,,,,,604
BUENOS AIRES,Avellaneda,Gerli,6035010,,,,1,,,2,2,,,,,,,,1,,,,1,,,,,,492,,20,,,,,,34,,19,,,,,97,,,,,6,,,,,,,,,,,,,4496,,,,1072,,,,,,,207,,,,,,,,,2825
BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,,4,,,2,6,,,2,,,1,,4,,,7,,,,,2,,353,,29,,,1,,,46,,15,,,,,128,,,,,16,,,,,,,,1,,,,,3006,,,,916,,,,,,,178,,,,,,,,,2542
BUENOS AIRES,Avellaneda,Sarandí,6035010,4,,,12,1,,35,6,,,4,,,2,,215,,,10,31,,,,128,,539,,24,,,1604,,,142,,101,,,,,205,,,,,3401,,,,,,,,,,,,,8206,,,,1555,,,,,,,334,,,,,,,,,5063
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,,,,5,,,8,14,,,1,,,41,,2,,,5,154,,,,3,,544,,24,,,2,,,71,,79,,,,,164,,,,,12,,,,,,,,,,,,,6565,,,,2254,,,,,,,459,,,,,,,,,3850
BUENOS AIRES,Avellaneda,Wilde,6035010,3,,,5,,,32,8,,,3,,,2,,116,,,7,10,,,,261,,766,,42,,,1663,,,119,,81,,,,,216,,,,,3082,,,,,,,,,,,,,9974,,,,2233,,,,,,,466,,,,,,,,,6024
BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,,,7,119,,,,,,,,109,,,,18,,,,752,,,,,,,1202,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,,,17,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,,1,,,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Azul,6049020,15,,,9,,,55,171,,,819,,,3,,754,,,121,7,,,,951,,129,,143,,,684,,,235,,13,,,,,600,,,,,15,,,,,,,,2,,,,,7041,,,,,,,,,,,,,,,,,,,,4847
BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Chillar,6049040,,,,,1,,,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,32,2,,19,1,,184,150,,,83,,,362,,1714,200,,273,613,,7,,2856,1,310,3,305,2,3,1257,3,2,738,,47,1,,,,1522,,,,,1610,,,,,,,,,,,,,51898,,,59,,,,,,,,,,,,,,,,,48708
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,6,,,,,,,,,,,,,,,,9,,1,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,,,2,,,,,,,,,24,,,,20,,,,48,,1,,2,,,300,,,6,,3,,,,,27,,,,,1,,,,,,,,,,,,,793,,,,,,,,,,,,,,,,,,,,541
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BUENOS AIRES,Balcarce,Balcarce,6063010,9,,,,,,24,,,,98,,,,,310,,,,330,,,,795,,249,,57,,,611,,,43,,3,,,,,201,,,,,25,,,,,,,,,,,,,7912,,,,,,,,,,,,,,,,,,,,2474
BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,,,38,,,,,,23,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,San Agustín,6063050,24,,,,,,,,,,8,,,,,,,,,25,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,,,,,,,,,,,1,,,,,,,,,16,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Baradero,6070010,,,,1,,,,56,,,,,,1060,,,,,1,710,,,,1,,881,,36,,,70,,,1,,57,,,,,247,,,,,4,,,,,,,,,,,,,4274,,,,,,,,,,,,,,,,,,,,1967
BUENOS AIRES,Baradero,Irineo Portela,6070020,,,,,,,,,,,,,,76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Santa Coloma,6070030,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,,,,,,,,,,,,,,153,,,,,,15,,,,,,90,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Barker,6084010,1,,,1,,,,20,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,4,,,1,,,,,,,,,,,,59,,,,,,,,428,,59,,1,,,914,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,López,6084030,,,,,,,,,,,,,,12,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,,,,1,,,,50,,,43,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berazategui,Berazategui,6091010,15,,,11,,,22,27,,,2,,,6,,75,34,,5,29,,,,108,,769,,48,,,1422,,,89,,43,,,,,276,,,,,6364,,,,,,,,,,,,,15170,,,,4744,,,,,,,1030,,,,,,,,,10352
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,,,,11,,,3,,,,,,,,,2,,,,64,,,,,,27,,,,,2,,,,,100,,,,,1,,,,,,,,,,,,,,,,,,11057,,,,29,,,,,,,7,,,,,,,,,3100
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,,,,,,,,,,,,,,,,2,,,1,,,,,7,,44,,,,,8,,,,,,,,,,4,,,,,191,,,,,,,,,,,,,1023,,,,498,,,,,,,98,,,,,,,,,858
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,,,,,,,,8,,,5,,,3,,,2,,1966,5,,,,,,78,,,,,19,,,,,,,,,,1,,,,,,,,,,,,,,,,,,14,,,,402,,,,,,,83,,,,,,,,,197
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,2,,,,,,4,1,,,1,,,1,,23,,,3,7,,,,31,,276,,8,,,30,,,24,,16,,,,,87,,,,,2354,,,,,,,,,,,,,5560,,,,1681,,,,,,,426,,,,,,,,,3566
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,,,,,,,10,7,,,3,,,34,,77,,,,19,,,,97,,46,,1,,,318,,,1,,36,,,,,20,,,,,2,,,,,,,,,,,,,2342,,,,504,,,,,,,74,,,,,,,,,1621
BUENOS AIRES,Berazategui,Pereyra,6091010,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,1,,,3,,,1,,,,,,,10,,,,,310,,,,,,,,,,,,,109,,,,3,,,,,,,,,,,,,,,,88
BUENOS AIRES,Berazategui,Plátanos,6091010,3,,,,,,,1,,,,,,,,,,,1,1,,,,,,64,,,,,,,,,,7,,,,,4,,,,,,,,,,,,,,,,,,1561,,,,635,,,,,,,165,,,,,,,,,979
BUENOS AIRES,Berazategui,Ranelagh,6091010,,,,1,,,7,4,,,,,,,,20,,,,56,,,,2,,121,,1,,,9,,,2,,41,,,,,26,,,,,5756,,,,,,,,,,,,,1290,,,,874,,,,,,,183,,,,,,,,,1382
BUENOS AIRES,Berazategui,Villa España,6091010,,,,1,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,1,,1,,,,,13,,,,,,,,,,,,,,,,,,1502,,,,370,,,,,,,79,,,,,,,,,923
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,170,,,,,,,,,,,,,,,,,,,28,,,,9,,3,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Berisso,6098010,2,,,8,,,131,3,,,,,,2,,1565,,,,294,,,,1351,,48,,168,,,1151,,,129,,30,,,,,5799,,,,,9,,,,,,,,,,,,,6430,,,,,,,,,,,,,,,,,,,,5091
BUENOS AIRES,Berisso,Villa Arguello,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Villa Nueva,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
BUENOS AIRES,Berisso,Villa Progreso,6098010,167,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,116,,,,,15,,,,,,,,,,21,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,16
BUENOS AIRES,Bolívar,Hale,6105010,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Otros,Sin Datos,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Paula,6105040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Pirovano,6105050,50,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,,,,,,,13,,,,,,,,,347,,,1,3,,,,403,,29,,138,,,462,,,11,,3,,,,,197,,,,,,,,,,,,,,,,,,3407,,,,,,,,,,,,,,,,,,,,1145
BUENOS AIRES,Bolívar,Urdampilleta,6105070,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Bragado,6112010,,,,,,,15,1,,,93,,,125,,141,,,,3,,,,232,,36,,159,,,293,,,5,,2,,,,,287,,,,,8,,,,,,,,,,,,,2366,,,,,,,,,,,,,,,,,,,,1302
BUENOS AIRES,Bragado,Comodoro Py,6112020,,,,,,,,,,,,,,154,,,,,,44,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
BUENOS AIRES,Bragado,General O'Brien,6112030,,,,,,,,,,,321,,,,,,83,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Irala,6112040,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,,,,,,,,,,,,,,10,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Olascoaga,6112080,,,,,,,,,,,,,,21,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Warnes,6112090,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,3,,,,,,7,5,,,27,,,46,,311,1,,149,,,,,580,,638,,,112,,1046,,,,,13,,,15,,2,,,,,3,,,,,,,,924,,,,,123,,,,,,,,,,92,,,,,,14,,,,308
BUENOS AIRES,Brandsen,Jeppener,6119070,7,,,,,,,23,,,45,,,44,,,,,378,,,,,69,,110,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
